,timeGame,team1Name,team1Score,team1Odds,team2Name,team2Score,team2Odds
55,16:05,Cleveland Guardians,6,1.70,San Diego Padres,1,2.09
56,16:05,Kansas City Royals,5,1.57,Oakland Athletics,3,2.34
57,16:05,Los Angeles Dodgers,8,1.48,Cincinnati Reds,10,2.55
58,13:07,Toronto Blue Jays,9,1.51,New York Yankees,2,2.47
59,13:05,Minnesota Twins,0,1.73,Atlanta Braves,4,2.05
60,16:05,Chicago Cubs,5,1.66,Oakland Athletics,4,2.15
61,16:05,Los Angeles Dodgers,6,1.55,Cleveland Guardians,2,2.36
62,16:05,San Francisco Giants,3,1.53,Arizona Diamondbacks,5,2.41
63,16:05,Texas Rangers,14,2.20,Chicago White Sox,5,1.64
64,13:05,Atlanta Braves,7,1.78,Tampa Bay Rays,7,1.98
65,13:05,Boston Red Sox,4,1.70,Minnesota Twins,10,2.08
66,13:05,Detroit Tigers,6,1.46,Pittsburgh Pirates,6,2.61
67,13:05,Houston Astros,10,1.75,St.Louis Cardinals,3,2.02
68,13:05,Miami Marlins,3,1.95,Washington Nationals,2,1.80
69,13:05,Philadelphia Phillies,8,1.56,Toronto Blue Jays,7,2.34
70,18:10,New York Mets,2,1.52,Houston Astros,0,2.46
71,16:10,Arizona Diamondbacks,1,1.96,Texas Rangers,4,1.80
72,16:10,Los Angeles Angels,7,1.66,Colorado Rockies,4,2.17
73,16:10,Milwaukee Brewers,3,2.33,Chicago White Sox,4,1.57
74,16:10,Seattle Mariners,5,1.69,Chicago Cubs,5,2.12
75,16:05,Cleveland Guardians,6,1.70,San Diego Padres,1,2.09
76,16:05,Kansas City Royals,5,1.57,Oakland Athletics,3,2.34
77,16:05,Los Angeles Dodgers,8,1.48,Cincinnati Reds,10,2.55
78,13:07,Toronto Blue Jays,9,1.51,New York Yankees,2,2.47
79,13:05,Minnesota Twins,0,1.73,Atlanta Braves,4,2.05
80,13:05,Baltimore Orioles,5,2.05,Detroit Tigers,4,1.77
81,13:05,Miami Marlins,3,1.81,Houston Astros,4,1.93
82,13:05,Minnesota Twins,6,1.72,Boston Red Sox,3,2.12
83,13:05,New York Yankees,7,1.46,Pittsburgh Pirates,4,2.59
84,21:05,Kansas City Royals,5,1.99,Los Angeles Dodgers,10,1.77
85,18:05,Baltimore Orioles,14,1.66,Pittsburgh Pirates,5,2.16
86,16:10,Colorado Rockies,8,1.84,Texas Rangers,7,1.92
87,16:10,Milwaukee Brewers,7,1.56,Seattle Mariners,7,2.36
88,16:10,San Diego Padres,2,1.59,Chicago Cubs,2,2.29
89,16:05,Chicago White Sox,3,1.61,Los Angeles Angels,12,2.25
90,16:05,Cleveland Guardians,9,1.62,Oakland Athletics,2,2.24
91,16:05,San Francisco Giants,1,1.69,Cincinnati Reds,2,2.12
92,13:10,New York Mets,4,1.54,Washington Nationals,2,2.40
93,13:05,Atlanta Braves,8,1.69,Minnesota Twins,6,2.11
94,13:05,Boston Red Sox,5,1.71,Tampa Bay Rays,3,2.08
95,13:05,Detroit Tigers,14,1.71,Philadelphia Phillies,8,2.07
96,13:05,New York Yankees,9,1.81,Toronto Blue Jays,10,1.94
97,13:05,St.Louis Cardinals,2,1.91,Miami Marlins,9,1.85
98,21:40,Seattle Mariners,3,1.79,Chicago White Sox,0,1.96
99,21:05,Los Angeles Dodgers,5,1.61,San Diego Padres,5,2.28
100,13:05,Baltimore Orioles,5,2.05,Detroit Tigers,4,1.77
101,13:05,Miami Marlins,3,1.81,Houston Astros,4,1.93
102,13:05,Minnesota Twins,6,1.72,Boston Red Sox,3,2.12
103,13:05,New York Yankees,7,1.46,Pittsburgh Pirates,4,2.59
104,21:05,Kansas City Royals,5,1.99,Los Angeles Dodgers,10,1.77
105,18:05,Baltimore Orioles,14,1.66,Pittsburgh Pirates,5,2.16
106,16:10,Colorado Rockies,8,1.84,Texas Rangers,7,1.92
107,16:10,Milwaukee Brewers,7,1.56,Seattle Mariners,7,2.36
108,16:10,San Diego Padres,2,1.59,Chicago Cubs,2,2.29
109,16:05,Chicago White Sox,3,1.61,Los Angeles Angels,12,2.25
110,16:05,Cleveland Guardians,9,1.62,Oakland Athletics,2,2.24
111,16:05,San Francisco Giants,1,1.69,Cincinnati Reds,2,2.12
112,13:10,New York Mets,4,1.54,Washington Nationals,2,2.40
113,13:05,Atlanta Braves,8,1.69,Minnesota Twins,6,2.11
114,13:05,Boston Red Sox,5,1.71,Tampa Bay Rays,3,2.08
115,13:05,Detroit Tigers,14,1.71,Philadelphia Phillies,8,2.07
116,13:05,New York Yankees,9,1.81,Toronto Blue Jays,10,1.94
117,13:05,St.Louis Cardinals,2,1.91,Miami Marlins,9,1.85
118,21:40,Seattle Mariners,3,1.79,Chicago White Sox,0,1.96
119,21:05,Los Angeles Dodgers,5,1.61,San Diego Padres,5,2.28
120,13:05,Atlanta Braves,1,1.77,Tampa Bay Rays,5,1.99
121,13:05,Boston Red Sox,4,1.65,Minnesota Twins,3,2.17
122,13:05,Pittsburgh Pirates,4,1.82,Baltimore Orioles,4,1.93
123,21:05,Cleveland Guardians,1,2.46,Los Angeles Dodgers,12,1.52
124,18:35,New York Yankees,3,1.75,Toronto Blue Jays,11,2.02
125,18:10,New York Mets,3,1.84,Houston Astros,5,1.91
126,16:10,Colorado Rockies,2,1.73,Arizona Diamondbacks,9,2.07
127,16:10,San Diego Padres,4,1.63,Milwaukee Brewers,2,2.25
128,16:05,Chicago Cubs,8,2.04,Seattle Mariners,5,1.74
129,16:05,Chicago White Sox,7,1.56,Texas Rangers,0,2.37
130,16:05,Kansas City Royals,5,1.67,San Francisco Giants,9,2.17
131,16:05,Oakland Athletics,5,1.86,Cincinnati Reds,4,1.89
132,13:05,Baltimore Orioles,7,1.88,Tampa Bay Rays,6,1.89
133,13:05,Boston Red Sox,10,1.75,Atlanta Braves,7,2.01
134,13:05,Minnesota Twins,9,1.44,Pittsburgh Pirates,4,2.69
135,13:05,Philadelphia Phillies,1,1.64,Detroit Tigers,7,2.20
136,13:05,Washington Nationals,8,2.14,St.Louis Cardinals,29,1.68
137,21:05,Los Angeles Dodgers,6,1.43,Oakland Athletics,4,2.73
138,18:40,Miami Marlins,0,1.93,New York Mets,10,1.83
139,16:10,Colorado Rockies,2,1.78,Los Angeles Angels,8,1.99
140,13:05,Atlanta Braves,1,1.77,Tampa Bay Rays,5,1.99
141,13:05,Boston Red Sox,4,1.65,Minnesota Twins,3,2.17
142,13:05,Pittsburgh Pirates,4,1.82,Baltimore Orioles,4,1.93
143,21:05,Cleveland Guardians,1,2.46,Los Angeles Dodgers,12,1.52
144,18:35,New York Yankees,3,1.75,Toronto Blue Jays,11,2.02
145,18:10,New York Mets,3,1.84,Houston Astros,5,1.91
146,16:10,Colorado Rockies,2,1.73,Arizona Diamondbacks,9,2.07
147,16:10,San Diego Padres,4,1.63,Milwaukee Brewers,2,2.25
148,16:05,Chicago Cubs,8,2.04,Seattle Mariners,5,1.74
149,16:05,Chicago White Sox,7,1.56,Texas Rangers,0,2.37
150,16:05,Kansas City Royals,5,1.67,San Francisco Giants,9,2.17
151,16:05,Oakland Athletics,5,1.86,Cincinnati Reds,4,1.89
152,13:05,Baltimore Orioles,7,1.88,Tampa Bay Rays,6,1.89
153,13:05,Boston Red Sox,10,1.75,Atlanta Braves,7,2.01
154,13:05,Minnesota Twins,9,1.44,Pittsburgh Pirates,4,2.69
155,13:05,Philadelphia Phillies,1,1.64,Detroit Tigers,7,2.20
156,13:05,Washington Nationals,8,2.14,St.Louis Cardinals,29,1.68
157,21:05,Los Angeles Dodgers,6,1.43,Oakland Athletics,4,2.73
158,18:40,Miami Marlins,0,1.93,New York Mets,10,1.83
159,16:10,Colorado Rockies,2,1.78,Los Angeles Angels,8,1.99
160,21:05,Los Angeles Angels,5,2.08,Los Angeles Dodgers,1,1.70
161,16:10,Arizona Diamondbacks,4,1.83,Cincinnati Reds,15,1.94
162,16:10,Milwaukee Brewers,2,1.49,Texas Rangers,13,2.57
163,16:05,Chicago White Sox,4,1.45,Colorado Rockies,13,2.65
164,16:05,Kansas City Royals,8,1.60,Seattle Mariners,10,2.27
165,16:05,Oakland Athletics,8,2.27,San Diego Padres,2,1.60
166,13:10,New York Mets,8,1.52,Miami Marlins,4,2.47
167,13:07,Toronto Blue Jays,7,1.56,New York Yankees,5,2.36
168,13:05,Atlanta Braves,3,1.75,Boston Red Sox,6,2.01
169,13:05,Minnesota Twins,8,1.46,Baltimore Orioles,2,2.62
170,13:05,Philadelphia Phillies,8,1.61,Detroit Tigers,7,2.24
171,13:05,Pittsburgh Pirates,2,2.31,Tampa Bay Rays,9,1.58
172,13:05,Washington Nationals,9,2.36,Houston Astros,6,1.55
173,21:40,Seattle Mariners,4,2.00,Milwaukee Brewers,3,1.77
174,21:10,Arizona Diamondbacks,8,2.16,Chicago White Sox,4,1.66
175,21:05,Cincinnati Reds,6,1.66,San Diego Padres,3,2.14
176,21:05,Texas Rangers,3,2.13,Cleveland Guardians,1,1.69
177,16:05,Oakland Athletics,11,1.60,Colorado Rockies,11,2.27
178,21:05,Los Angeles Angels,5,2.08,Los Angeles Dodgers,1,1.70
179,16:10,Arizona Diamondbacks,4,1.83,Cincinnati Reds,15,1.94
180,16:10,Milwaukee Brewers,2,1.49,Texas Rangers,13,2.57
181,16:05,Chicago White Sox,4,1.45,Colorado Rockies,13,2.65
182,16:05,Kansas City Royals,8,1.60,Seattle Mariners,10,2.27
183,16:05,Oakland Athletics,8,2.27,San Diego Padres,2,1.60
184,13:10,New York Mets,8,1.52,Miami Marlins,4,2.47
185,13:07,Toronto Blue Jays,7,1.56,New York Yankees,5,2.36
186,13:05,Atlanta Braves,3,1.75,Boston Red Sox,6,2.01
187,13:05,Minnesota Twins,8,1.46,Baltimore Orioles,2,2.62
188,13:05,Philadelphia Phillies,8,1.61,Detroit Tigers,7,2.24
189,13:05,Pittsburgh Pirates,2,2.31,Tampa Bay Rays,9,1.58
190,13:05,Washington Nationals,9,2.36,Houston Astros,6,1.55
191,21:40,Seattle Mariners,4,2.00,Milwaukee Brewers,3,1.77
192,21:10,Arizona Diamondbacks,8,2.16,Chicago White Sox,4,1.66
193,21:05,Cincinnati Reds,6,1.66,San Diego Padres,3,2.14
194,21:05,Texas Rangers,3,2.13,Cleveland Guardians,1,1.69
195,16:05,Oakland Athletics,11,1.60,Colorado Rockies,11,2.27
196,13:10,Detroit Tigers,2,2.17,Chicago White Sox,5,1.74
197,13:10,Tampa Bay Rays,5,1.44,Baltimore Orioles,3,2.92
198,21:40,Arizona Diamondbacks,0,2.24,San Diego Padres,3,1.69
199,21:38,Los Angeles Angels,6,1.83,Houston Astros,13,2.05
200,19:20,Atlanta Braves,7,1.54,Cincinnati Reds,6,2.57
201,19:07,Toronto Blue Jays,10,1.58,Texas Rangers,8,2.47
202,19:05,Washington Nationals,3,2.38,New York Mets,7,1.62
203,16:35,San Francisco Giants,6,1.68,Miami Marlins,5,2.27
204,16:10,Colorado Rockies,3,2.78,Los Angeles Dodgers,5,1.47
205,16:10,Minnesota Twins,1,1.82,Seattle Mariners,2,2.04
206,15:10,Tampa Bay Rays,2,1.51,Baltimore Orioles,1,2.67
207,15:05,Philadelphia Phillies,9,1.51,Oakland Athletics,5,2.68
208,13:10,Detroit Tigers,5,2.17,Chicago White Sox,4,1.73
209,13:05,New York Yankees,6,1.57,Boston Red Sox,5,2.52
210,21:40,Arizona Diamondbacks,4,2.19,San Diego Padres,2,1.73
211,21:38,Los Angeles Angels,1,1.80,Houston Astros,3,2.07
212,20:08,Atlanta Braves,3,1.56,Cincinnati Reds,6,2.51
213,19:05,Washington Nationals,1,2.08,New York Mets,5,1.79
214,16:15,St.Louis Cardinals,9,1.61,Pittsburgh Pirates,0,2.41
215,16:10,Kansas City Royals,3,2.06,Cleveland Guardians,1,1.81
216,13:10,Detroit Tigers,2,2.17,Chicago White Sox,5,1.74
217,13:10,Tampa Bay Rays,5,1.44,Baltimore Orioles,3,2.92
218,21:40,Arizona Diamondbacks,0,2.24,San Diego Padres,3,1.69
219,21:38,Los Angeles Angels,6,1.83,Houston Astros,13,2.05
220,19:20,Atlanta Braves,7,1.54,Cincinnati Reds,6,2.57
221,19:07,Toronto Blue Jays,10,1.58,Texas Rangers,8,2.47
222,19:05,Washington Nationals,3,2.38,New York Mets,7,1.62
223,16:35,San Francisco Giants,6,1.68,Miami Marlins,5,2.27
224,16:10,Colorado Rockies,3,2.78,Los Angeles Dodgers,5,1.47
225,16:10,Minnesota Twins,1,1.82,Seattle Mariners,2,2.04
226,15:10,Tampa Bay Rays,2,1.51,Baltimore Orioles,1,2.67
227,15:05,Philadelphia Phillies,9,1.51,Oakland Athletics,5,2.68
228,13:10,Detroit Tigers,5,2.17,Chicago White Sox,4,1.73
229,13:05,New York Yankees,6,1.57,Boston Red Sox,5,2.52
230,21:40,Arizona Diamondbacks,4,2.19,San Diego Padres,2,1.73
231,21:38,Los Angeles Angels,1,1.80,Houston Astros,3,2.07
232,20:08,Atlanta Braves,3,1.56,Cincinnati Reds,6,2.51
233,19:05,Washington Nationals,1,2.08,New York Mets,5,1.79
234,16:15,St.Louis Cardinals,9,1.61,Pittsburgh Pirates,0,2.41
235,16:10,Kansas City Royals,3,2.06,Cleveland Guardians,1,1.81
236,19:40,Minnesota Twins,2,2.27,Los Angeles Dodgers,7,1.67
237,19:20,Atlanta Braves,16,1.57,Washington Nationals,4,2.50
238,19:07,Los Angeles Angels,4,1.66,Miami Marlins,3,2.31
239,19:05,Baltimore Orioles,4,2.43,Milwaukee Brewers,5,1.60
240,19:05,New York Yankees,4,1.77,Toronto Blue Jays,0,2.13
241,18:45,Philadelphia Phillies,0,1.69,New York Mets,2,2.24
242,18:40,Tampa Bay Rays,9,1.49,Oakland Athletics,8,2.75
243,16:12,Pittsburgh Pirates,1,2.01,Chicago Cubs,2,1.85
244,16:10,Chicago White Sox,3,1.85,Seattle Mariners,2,2.01
245,16:10,Cincinnati Reds,5,1.91,Cleveland Guardians,10,1.95
246,13:10,Detroit Tigers,3,2.06,Boston Red Sox,5,1.82
247,21:45,San Francisco Giants,2,1.64,San Diego Padres,4,2.33
248,21:38,Los Angeles Angels,6,1.79,Miami Marlins,2,2.08
249,19:40,Minnesota Twins,4,1.77,Seattle Mariners,0,2.13
250,19:20,Atlanta Braves,2,1.43,Washington Nationals,11,2.95
251,19:05,New York Yankees,0,1.84,Toronto Blue Jays,3,2.03
252,18:45,Philadelphia Phillies,5,1.68,New York Mets,4,2.25
253,18:40,Tampa Bay Rays,2,1.44,Oakland Athletics,13,2.93
254,17:10,Detroit Tigers,3,2.07,Boston Red Sox,1,1.81
255,16:05,Texas Rangers,4,1.75,Colorado Rockies,6,2.13
256,19:40,Minnesota Twins,2,2.27,Los Angeles Dodgers,7,1.67
257,19:20,Atlanta Braves,16,1.57,Washington Nationals,4,2.50
258,19:07,Los Angeles Angels,4,1.66,Miami Marlins,3,2.31
259,19:05,Baltimore Orioles,4,2.43,Milwaukee Brewers,5,1.60
260,19:05,New York Yankees,4,1.77,Toronto Blue Jays,0,2.13
261,18:45,Philadelphia Phillies,0,1.69,New York Mets,2,2.24
262,18:40,Tampa Bay Rays,9,1.49,Oakland Athletics,8,2.75
263,16:12,Pittsburgh Pirates,1,2.01,Chicago Cubs,2,1.85
264,16:10,Chicago White Sox,3,1.85,Seattle Mariners,2,2.01
265,16:10,Cincinnati Reds,5,1.91,Cleveland Guardians,10,1.95
266,13:10,Detroit Tigers,3,2.06,Boston Red Sox,5,1.82
267,21:45,San Francisco Giants,2,1.64,San Diego Padres,4,2.33
268,21:38,Los Angeles Angels,6,1.79,Miami Marlins,2,2.08
269,19:40,Minnesota Twins,4,1.77,Seattle Mariners,0,2.13
270,19:20,Atlanta Braves,2,1.43,Washington Nationals,11,2.95
271,19:05,New York Yankees,0,1.84,Toronto Blue Jays,3,2.03
272,18:45,Philadelphia Phillies,5,1.68,New York Mets,4,2.25
273,18:40,Tampa Bay Rays,2,1.44,Oakland Athletics,13,2.93
274,17:10,Detroit Tigers,3,2.07,Boston Red Sox,1,1.81
275,16:05,Texas Rangers,4,1.75,Colorado Rockies,6,2.13
276,18:10,Cleveland Guardians,2,1.92,San Francisco Giants,4,1.93
277,18:10,Miami Marlins,3,1.71,Philadelphia Phillies,10,2.21
278,16:10,Boston Red Sox,4,1.71,Minnesota Twins,0,2.21
279,16:10,Kansas City Royals,3,1.67,Detroit Tigers,1,2.29
280,16:05,San Diego Padres,2,1.90,Atlanta Braves,5,1.96
281,15:07,Toronto Blue Jays,5,1.47,Oakland Athletics,7,2.80
282,14:10,Chicago White Sox,3,1.74,Tampa Bay Rays,2,2.18
283,13:10,New York Mets,2,1.61,Arizona Diamondbacks,3,2.40
284,22:10,Los Angeles Dodgers,3,1.36,Cincinnati Reds,1,3.31
285,21:42,Seattle Mariners,11,2.05,Houston Astros,1,1.81
286,21:40,San Diego Padres,2,1.89,Atlanta Braves,5,1.97
287,20:40,Colorado Rockies,6,1.82,Chicago Cubs,5,2.05
288,20:10,Kansas City Royals,1,1.78,Detroit Tigers,2,2.11
289,20:10,Milwaukee Brewers,1,1.65,St.Louis Cardinals,10,2.33
290,20:05,Texas Rangers,6,2.01,Los Angeles Angels,9,1.85
291,19:10,Chicago White Sox,3,1.71,Tampa Bay Rays,2,2.22
292,19:10,Cleveland Guardians,1,2.32,San Francisco Giants,4,1.65
293,19:07,Toronto Blue Jays,4,1.50,Oakland Athletics,1,2.71
294,19:05,Baltimore Orioles,2,2.76,New York Yankees,1,1.49
295,18:40,Miami Marlins,7,1.77,Philadelphia Phillies,1,2.11
296,18:10,Cleveland Guardians,2,1.92,San Francisco Giants,4,1.93
297,18:10,Miami Marlins,3,1.71,Philadelphia Phillies,10,2.21
298,16:10,Boston Red Sox,4,1.71,Minnesota Twins,0,2.21
299,16:10,Kansas City Royals,3,1.67,Detroit Tigers,1,2.29
300,16:05,San Diego Padres,2,1.90,Atlanta Braves,5,1.96
301,15:07,Toronto Blue Jays,5,1.47,Oakland Athletics,7,2.80
302,14:10,Chicago White Sox,3,1.74,Tampa Bay Rays,2,2.18
303,13:10,New York Mets,2,1.61,Arizona Diamondbacks,3,2.40
304,22:10,Los Angeles Dodgers,3,1.36,Cincinnati Reds,1,3.31
305,21:42,Seattle Mariners,11,2.05,Houston Astros,1,1.81
306,21:40,San Diego Padres,2,1.89,Atlanta Braves,5,1.97
307,20:40,Colorado Rockies,6,1.82,Chicago Cubs,5,2.05
308,20:10,Kansas City Royals,1,1.78,Detroit Tigers,2,2.11
309,20:10,Milwaukee Brewers,1,1.65,St.Louis Cardinals,10,2.33
310,20:05,Texas Rangers,6,2.01,Los Angeles Angels,9,1.85
311,19:10,Chicago White Sox,3,1.71,Tampa Bay Rays,2,2.22
312,19:10,Cleveland Guardians,1,2.32,San Francisco Giants,4,1.65
313,19:07,Toronto Blue Jays,4,1.50,Oakland Athletics,1,2.71
314,19:05,Baltimore Orioles,2,2.76,New York Yankees,1,1.49
315,18:40,Miami Marlins,7,1.77,Philadelphia Phillies,1,2.11
316,16:10,San Diego Padres,6,1.52,Cincinnati Reds,0,2.67
317,15:10,Colorado Rockies,6,1.98,Philadelphia Phillies,9,1.89
318,15:10,Los Angeles Dodgers,5,1.76,Atlanta Braves,1,2.14
319,14:10,Cleveland Guardians,11,1.62,Chicago White Sox,1,2.42
320,13:40,Milwaukee Brewers,4,1.41,Pittsburgh Pirates,2,3.03
321,22:10,Los Angeles Dodgers,1,1.64,Atlanta Braves,3,2.36
322,21:40,Oakland Athletics,2,1.82,Baltimore Orioles,1,2.06
323,21:40,San Diego Padres,6,1.47,Cincinnati Reds,2,2.83
324,21:40,Seattle Mariners,6,1.68,Texas Rangers,2,2.27
325,20:40,Colorado Rockies,6,2.16,Philadelphia Phillies,5,1.74
326,20:10,Houston Astros,2,1.63,Los Angeles Angels,7,2.35
327,20:10,Kansas City Royals,4,2.09,Minnesota Twins,3,1.78
328,19:40,Chicago Cubs,5,2.09,Tampa Bay Rays,6,1.79
329,19:40,Milwaukee Brewers,5,1.38,Pittsburgh Pirates,2,3.19
330,19:10,Boston Red Sox,2,1.76,Toronto Blue Jays,1,2.12
331,19:05,Washington Nationals,1,1.78,Arizona Diamondbacks,0,2.08
332,18:40,Detroit Tigers,2,2.86,New York Yankees,4,1.46
333,18:40,Miami Marlins,1,2.00,St.Louis Cardinals,5,1.87
334,18:10,New York Mets,3,2.00,San Francisco Giants,1,2.00
335,15:10,New York Mets,5,1.79,San Francisco Giants,4,2.06
336,16:10,San Diego Padres,6,1.52,Cincinnati Reds,0,2.67
337,15:10,Colorado Rockies,6,1.98,Philadelphia Phillies,9,1.89
338,15:10,Los Angeles Dodgers,5,1.76,Atlanta Braves,1,2.14
339,14:10,Cleveland Guardians,11,1.62,Chicago White Sox,1,2.42
340,13:40,Milwaukee Brewers,4,1.41,Pittsburgh Pirates,2,3.03
341,22:10,Los Angeles Dodgers,1,1.64,Atlanta Braves,3,2.36
342,21:40,Oakland Athletics,2,1.82,Baltimore Orioles,1,2.06
343,21:40,San Diego Padres,6,1.47,Cincinnati Reds,2,2.83
344,21:40,Seattle Mariners,6,1.68,Texas Rangers,2,2.27
345,20:40,Colorado Rockies,6,2.16,Philadelphia Phillies,5,1.74
346,20:10,Houston Astros,2,1.63,Los Angeles Angels,7,2.35
347,20:10,Kansas City Royals,4,2.09,Minnesota Twins,3,1.78
348,19:40,Chicago Cubs,5,2.09,Tampa Bay Rays,6,1.79
349,19:40,Milwaukee Brewers,5,1.38,Pittsburgh Pirates,2,3.19
350,19:10,Boston Red Sox,2,1.76,Toronto Blue Jays,1,2.12
351,19:05,Washington Nationals,1,1.78,Arizona Diamondbacks,0,2.08
352,18:40,Detroit Tigers,2,2.86,New York Yankees,4,1.46
353,18:40,Miami Marlins,1,2.00,St.Louis Cardinals,5,1.87
354,18:10,New York Mets,3,2.00,San Francisco Giants,1,2.00
355,15:10,New York Mets,5,1.79,San Francisco Giants,4,2.06
356,21:07,Los Angeles Angels,4,1.37,Baltimore Orioles,5,3.22
357,20:40,San Diego Padres,3,2.20,Los Angeles Dodgers,2,1.73
358,20:10,Arizona Diamondbacks,5,2.37,New York Mets,2,1.63
359,19:20,Atlanta Braves,7,1.63,Miami Marlins,9,2.37
360,18:40,Detroit Tigers,2,1.85,Colorado Rockies,3,2.01
361,18:10,Tampa Bay Rays,3,1.68,Boston Red Sox,2,2.29
362,16:10,Cincinnati Reds,0,1.84,St.Louis Cardinals,5,2.03
363,16:10,Houston Astros,2,2.13,Toronto Blue Jays,3,1.78
364,16:07,Oakland Athletics,0,1.68,Texas Rangers,2,2.28
365,16:05,Minnesota Twins,9,1.67,Chicago White Sox,2,2.30
366,16:05,Philadelphia Phillies,3,1.70,Milwaukee Brewers,5,2.25
367,14:20,Chicago Cubs,21,1.58,Pittsburgh Pirates,0,2.48
368,13:10,Detroit Tigers,13,1.71,Colorado Rockies,0,2.21
369,13:05,New York Yankees,5,1.52,Cleveland Guardians,4,2.65
370,13:05,Washington Nationals,2,2.49,San Francisco Giants,5,1.58
371,21:40,Arizona Diamondbacks,5,2.08,New York Mets,6,1.80
372,21:40,Oakland Athletics,1,2.17,Texas Rangers,8,1.74
373,21:40,San Diego Padres,1,2.30,Los Angeles Dodgers,6,1.66
374,21:40,Seattle Mariners,4,1.75,Kansas City Royals,1,2.15
375,21:38,Los Angeles Angels,3,1.52,Baltimore Orioles,5,2.68
376,21:07,Los Angeles Angels,4,1.37,Baltimore Orioles,5,3.22
377,20:40,San Diego Padres,3,2.20,Los Angeles Dodgers,2,1.73
